art_id,art_name,art_name_uri,art_name_first,art_name_nick,art_name_last,art_name_group,art_year_birth,art_place_birth,art_year_death,art_place_death,art_place_living_working,art_nationality,art_area,art_bio,art_image,art_url
442,Máisara Natividad López Meza,,Máisara Natividad,,López Meza,,,,,,,,,,,
443,Maja Osojnik,https://www.wikidata.org/entity/Q1387567,Maja,,Osojnik,,,,,,,,Europe,,,
444,Maksim Stolpovski,,Maksim,,Stolpovski,,,,,,,,Europe,,,
445,Malis Stöger,,Malis,,Stöger,,1978,Graz,,,,Austria,Europe,,,
446,Manfred Engelmayr,,Manfred,,Engelmayr,,1972,Wels,,,,Austria,Europe,,,
447,Manfred Kummer,,Manfred,,Kummer,,1962,,,,,Austria,Europe,,,
448,Manfred Stern,,Manfred,,Stern,,1962,Judenburg,,,,Austria,Europe,,,
449,Manu Froudarakis,https://www.wikidata.org/entity/Q117383600,Manuela,,Froudarakis,,1960,Mistelbach,,,,Austria,Europe,,,
450,Margit Franz,https://www.wikidata.org/entity/Q95657025,Margit,,Franz,,,,,,,,Europe,,,
451,Margit Maure,,Margit,,Maure,,,,,,,,Europe,,,
452,Margret Kreidl,https://www.wikidata.org/entity/Q84806,Margret,,Kreidl,,1964,Salzburg,,,Vienna,Austria,Europe,,,
453,Maria Hubinger,,Maria,,Hubinger,,1966,Kirchdorf/Krems,,,,Austria,Europe,,,
454,Maria Slovakova,,Maria,,Slovakova,,,,,,,Austria,Europe,,,
455,Mariana Rosenberg,,Mariana,,Rosenberg,,,,,,,Austria,Europe,,,
456,Marianna Dellekamp,https://www.wikidata.org/entity/Q78377971,Marianna,,Dellekamp,,,,,,,Austria,Europe,,,
457,Marilyn Collins,https://www.wikidata.org/entity/Q6763515,Marilyn,,Collins,,,,,,,Austria,Europe,,,
458,Mario Mitzka,,Mario,,Mitzka,,,,,,,Austria,Europe,,,
459,Marko Maric,,Marko,,Maric,,,,,,,Austria,Europe,,,
460,Markus Dorner,https://www.wikidata.org/entity/Q106936462,Markus,,Dorner,,,,,,,Austria,Europe,,,
461,Markus Gfrerer,,Markus,,Gfrerer,,,,,,,Austria,Europe,,,
462,Markus Haslinger,,Markus,,Haslinger,,,,,,,Austria,Europe,,,
