art_id,art_name,art_name_first,art_name_nick,art_name_last,art_name_group,art_year_birth,art_place_birth,art_year_death,art_place_death,art_place_living_working,art_nationality,art_area,art_bio,art_image,art_url
237,global bastards,,,,global bastards,,,,,,,,,,
238,Gloria Posada,Gloria,,Posada,,,,,,,Colombia,America (South),,,
239,Gloria Ribe,Gloria,,Ribe,,,,,,,,,,,
240,Gomez-Strausz,(unknown),,Gómez-Strausz,,,,,,,,,,,
241,Gottfried Bechtold,Gottfried,,Bechtold,,,,,,,,Europe,,,
242,Gottfried Krienzer,Gottfried,,Krienzer,,,,,,,,Europe,,,
243,Grace Quintanilla,Grace,,Quintanilla,,,,,,,,,,,
244,Gregor Pokorny,Gregor,,Pokorny,,,,,,,,Europe,,,
245,Gregorio Rocha,Gregorio,,Rocha,,,,,,,,,,,
246,Gruppe “Die Weisheit mit grossen Löffeln gegessen”,,,,Gruppe “Die Weisheit mit grossen Löffeln gegessen”,,,,,,,Europe,,,
247,Gruppe Norden,,,,Gruppe Norden,,,,,,,Europe,,,
248,Gudrun Bielz,Gudrun,,Bielz,,,,,,,,Europe,,,
249,Gue Schmidt,Gue,,Schmidt,,,,,,,,Europe,,,
250,Günter Eichberger,Günter,,Eichberger,,,,,,,,Europe,,,
251,Gustav Böhm,Gustav,,Böhm,,,,,,,,Europe,,,
252,Gustavo Vázquez,Gustavo,,Vázquez,,,,,,,,,,,
253,Henryk Tomaszewski,Henryk,,Tomaszewski,,,,,,,Poland,Europe,,,
254,H.J. Schubert,H.J.,,Schubert,,1956,Leoben,,,Graz,Austria,Europe,,,
255,Halt+Boring,,,,Halt+Boring,,,,,,,Europe,,,
256,Hamza Alshafe,Hamza,,Alshafe,,,,,,,,,,,
257,Han Byung-Ki,Han,,Byung-Ki,,,,,,,South Korea,Asia,,,
258,Hannes Priesch,Hannes,,Priesch,,,,,,,,Europe,,,
259,Hans Kuppelwieser,Hans,,Kuppelwieser,,,,,,,,Europe,,,
260,Hans Puhr,Hans,,Puhr,,,,,,,,Europe,,,
261,Hans Schabus,Hans,,Schabus,,,,,,,,Europe,,,
262,Hans Werner Poschauko,Hans Werner,,Poschauko,,1963,,,,,,Europe,,,
263,Harald Huskava,Harald,,Huskava,,,,,,,,Europe,,,
264,Hari Bukovsec,Hari,,Bukovsec,,,,,,,,,,,
265,Hasan Solmaz,Hasan,,Solmaz,,,,,,,,,,,
266,Haydee Garcia,Haydee,,Garcia,,,,,,,Colombia,America (South),,,
267,Hector Aquilar,Hector,,Aquilar,,,,,,,,,,,
268,Hedya Klein,Hedya,,Klein,,,,,,,,,,,
269,Heidi Ratschop,Heidi,,Ratschop,,,,,,,,Europe,,,
270,HeiDi Richter,HeiDi,,Richter,,,,,,,,Europe,,,
271,Heidrun Langer,Heidrun,,Langer,,,Augsburg,,,Austria,Germany,Europe,,,
272,Heidrun Zettelbauer,Heidrun,,Zettelbauer,,,,,,,,Europe,,,
273,Heimo Puschnigg (†),Heimo,,Puschnigg,,1955,,2021,,,,Europe,,,
274,Heimo Wallner,Heimo,,Wallner,,,,,,,,Europe,,,
275,Helga Glattfelder-Knöbl,Helga,,Glattfelder-Knöbl,,,,,,,,Europe,,,
276,Helga Petrau-Heinzel,Helga,,Petrau-Heinzel,,,,,,,,Europe,,,
277,Helmut Mark,Helmut,,Mark,,,,,,,,Europe,,,
