id,label,art_year_birth,art_year_death,art_nationality,art_area
A_397,Larissa Zvezdochotova,1958,,Ukraine,Europe
A_398,László Darvasi,1962,,Hungary,Europe
A_399,László Garaczi,1956,,Hungary,Europe
A_400,László Varvasovszky,1947,,Austria,Europe
A_401,Lawrence Weiner (†),1942,2021,USA,America (North)
A_402,Leana Yamileth López Álvarez,,,,America (Central)
A_403,Leandro Remigio López Meza,,,,America (Central)
A_404,Lee Byung-Chun,,,South Korea,Asia
A_405,Lee Doo-Seop,,,South Korea,Asia
A_406,Lee Hang,,,South Korea,Asia
A_407,Lee Jai-Min,,,South Korea,Asia
A_408,Lee Jin-Dong,,,South Korea,Asia
A_409,Lee Jong-Sun,,,South Korea,Asia
A_410,Lee Joo-Sung,,,South Korea,Asia
A_411,Lee Joung-Gun,,,South Korea,Asia
A_412,Lee Jung-Hoon,,,South Korea,Asia
A_413,Lee Keun-Myung,,,South Korea,Asia
A_414,Lee Kwang-Soo,,,South Korea,Asia
A_415,Lee Moon-Soo,,,South Korea,Asia
A_416,Lee Won-Il,,,South Korea,Asia
A_417,Leo Hainzl,1968,,Austria,Europe
A_418,Leo Kreisel-Strausz (†),1961,2023,Austria,Europe
A_419,Leon Hainzl & Gertraud Hasselbach,,,,Europe
A_420,Leonel Cerrato Jirón,,,Nicaragua,America (Central)
A_421,Léster Lagos López,,,Nicaragua,America (Central)
A_422,Lidia Zielińska,,,,Europe
A_423,Lidija Radojević,,,Slovenia,Europe
A_424,Liesl Ujvary,,,,Europe
A_425,Lina Gärtner,,,,Europe
A_426,LONESOME HOT DUDES,,,,Europe
A_427,Lorena Campbell,,,,Europe
A_428,Lorenzo Armendáriz,1961,,Mexico,America (North)
A_429,Lothar Lässer,1961,,Austria,Europe
A_430,Lotte Lyon,,,,Europe
A_431,Luis E. FalconiI,,,,
A_432,Luis Lupone,,,,
A_433,Luka Ropret,,,,Europe
A_434,Lukas Cejpek,1956,,Austria,Europe
A_435,M&S Architects – Uta Lambrette,,,,Europe
A_436,Mieczyslaw Górowski (†),1941,2011,Poland,Europe
A_437,Maciej Majewski,1977,,Poland,Europe
A_438,Mads Westrup,1984,,Denmark,Europe
A_439,Mag. Birgit Lesjak-Ladstaetter,,,Austria,Europe
A_440,Magdalena Gasser,,,,Europe
A_441,Maia Gusberti,,,,
A_442,Máisara Natividad López Meza,,,,
A_443,Maja Osojnik,,,,Europe
A_444,Maksim Stolpovski,,,,Europe
A_445,Malis Stöger,1978,,Austria,Europe
A_446,Manfred Engelmayr,1972,,Austria,Europe
A_447,Manfred Kummer,1962,,Austria,Europe
A_448,Manfred Stern,1962,,Austria,Europe
A_449,Manuela Froudarakis,1960,,Austria,Europe
A_450,Margit Franz,,,,Europe
A_451,Margit Maure,,,,Europe
A_452,Margret Kreidl,1964,,Austria,Europe
A_453,Maria Hubinger,1966,,Austria,Europe
A_454,Maria Slovakova,,,Austria,Europe
A_455,Mariana Rosenberg,,,Austria,Europe
A_456,Marianna Dellekamp,,,Austria,Europe
A_457,Marilyn Collins,,,Austria,Europe
A_458,Mario Mitzka,,,Austria,Europe
A_459,Marko Maric,,,Austria,Europe
A_460,Markus Dorner,,,Austria,Europe
A_461,Markus Gfrerer,,,Austria,Europe
A_462,Markus Haslinger,,,Austria,Europe
A_463,Markus Pieber,,,Austria,Europe
A_464,Markus Stieber,,,Austria,Europe
A_465,Marlene Haring,,,Austria,Europe
A_466,Marlene Persch,,,Austria,Europe
A_467,Martin Breindl,,,Austria,Europe
A_468,Martin Dickinger,,,Austria,Europe
A_469,Martin G.Wanko,,,Austria,Europe
A_470,Martin Honzik mit Pferd Bibi,,,Austria,Europe
A_471,Martin Plass,,,Austria,Europe
A_472,Martin Zrost,,,Austria,Europe
A_473,Martina Cizek,,,Austria,Europe
A_474,Maryluz Álvarez,,,Colombia,America (South)
A_475,Matej Bundela-Havaj,,,,Europe
A_476,Mathias Fuchs,,,,Europe
A_477,Mathias Loibner,,,,Europe
A_478,Matjaž Pikalo,,,,Europe
A_479,Matthias Bernhard,1985,,Austria,Europe
A_480,Maxwell Sibanda,,,,
A_481,Michael Bergbaur,,,,Europe
A_482,Michael Fanta,1989,,Austria,Europe
A_483,Michael Geyersbach,,,,Europe
A_484,Michaela Hampala (Museum der Wahrnehmung),,,,Europe
A_485,Michaela Niederkircher,,,,Europe
A_486,Michele Spanghero,,,,
A_487,Miguel Ángel Morales,,,,
A_488,mik,,,,Europe
A_489,Milo Strauss,,,Austria,Europe
A_490,Mir Mar,,,,
A_491,Mira Palmisano,,,,Europe
A_492,Miriam Bajtala,,,,Europe
A_493,Mirko Marić,1949,,BiH,Europe
A_494,Misrad Šehic,,,,Europe
A_495,Moisés Mora,,,,
A_496,Moke Klengel,,,,Europe
A_497,Monika Kummer-Pretterhofer,,,,Europe
A_498,Moreno Miorelli,,,,
A_499,Moucle Blackout,1935,,,Europe
A_500,mur.at–initiative netzkultur,,,Austria,Europe
A_501,Mustafa Gül,,,,
A_502,Mustafa Skopljak (†),1947,2015,BiH,Europe
A_503,N.N./Erfahrungen aus dem Wagenplatz-Umfeld (Wien),,,Austria,Europe
A_504,Nadja Folger,,,,Europe
A_505,Natalia Pschenitschnikowa,,,,Europe
A_506,Nataša Konzilia,,,,Europe
A_507,Natascha Varonitsina Varona,,,,Europe
A_508,Natividad de la Concepción Meza Alvarado,,,,
A_509,Nedim Ademovic,,,,Europe
A_510,Nestor Bravo,,,,
A_511,Nick Acorne,,,,
A_512,Nicole Pruckermayr,,,,Europe
A_513,Nicole Six,,,,
A_514,Nikita Alexejev,,,,
A_515,nomadenetappe,,,,Europe
A_516,Nora Bachel,,,,Europe
A_517,Norbert Math,,,,Europe
A_518,Nusret Pašić,1951,,BiH,Europe
A_519,Oskar Humer,,,,
A_520,Oskar Necoechea,,,,
A_521,Osvaldo Cibils,,,,
A_522,Oswald Oberhuber,,,,Europe
A_523,Pablo Morales y su hija Rosa Morales,,,,
A_524,Paola Korosec,,,,
A_525,Park Byung-Choon,,,South Korea,Asia
A_526,Park Jin-Yong,,,South Korea,Asia
A_527,Park Mi-Jung,,,South Korea,Asia
A_528,Park Mi-Sun,,,South Korea,Asia
A_529,Park Yong-Sun,,,South Korea,Asia
A_530,Park Yong-Woon,,,South Korea,Asia
A_531,Patricia Lagarde,,,,
A_532,Patricia Van Dalen,,,,
A_533,Patrick Dunst,,,,
A_534,Paul Petritsch,,,,
A_535,Paul Skrepek,,,Austria,Europe
A_536,peanutz architekten,,,,
A_537,Pedro Joaquín Losa,,,,
A_538,"Personen aus Wissenschaft, Kunst und Handwerk",,,Austria,Europe
A_539,Peter Battisti,,,,
A_540,Peter Sandbichler,,,,Europe
A_541,Petra Kohlenprath,,,,Europe
A_542,Petra Leschanz,,,,Europe
A_543,Petra Music,,,,
A_544,Pia Elizondo,,,,
A_545,Pierre Doze,,,,
A_546,Pierre Octave Poulin,,,,
A_547,PITCHES CREW,,,,
A_548,Pixie,,,,
A_549,pixlel hotel,,,,
A_550,Plattform Kunst ~ Öffentlichkeit,,,,
A_551,Prima & Fagot,,,,
A_552,Projekt Transfair „the golden roof” (Zwischenstand),,,,
A_553,Proton Group,,,,
A_554,Radio Freistadt,,,,Europe
A_555,Radio Fro,,,,Europe
A_556,"Radio Helsinki FM 92,6",,,Austria,Europe
A_557,Rainer Ganahl,,,,Europe
A_558,Rainer Gottemeier,,,,Europe
A_559,Rainer Possert,1950,,Austria,Europe
A_560,Rajiv Joshi,,,,
A_561,Ralf Thon,,,,Europe
A_562,Raschid Mohammad,,,,
A_563,raumlaborberlin,,,,Europe
A_564,Raumschiff Engelmayr,,,,Europe
A_565,Raymundo Sesma,,,,Europe
A_566,"rbw21 (Fritz Fro, Gue Schmidt)",,,,Europe
A_567,Regula Dettwiler,,,,Europe
A_568,Reinhard Handl,,,,Europe
A_569,Reinhard Winkler,,,,Europe
A_570,Reinhold Leitner,,,,Europe
A_571,Reinhold Schachner,,,,Europe
A_572,REIS,,,,Europe
A_573,Renate Eisenegger,,,,Europe
A_574,Renate Rosenbauer,,,,Europe
A_575,Renato Weinberger,,,,
A_576,René Eisenegger,,,,Europe
A_577,Reni Hofmüller,1966,,Austria,Europe
A_578,Resul Demir,,,,
A_579,RHIZOM,,,Austria,Europe
A_580,RHIZOM / tokyo – lijiang – graz – managua,,,,
A_581,"RHIZOM 1996: Christian Bachler, Leo Kreisel",,,Austria,Europe
A_582,"RHIZOM 2014: Mirko Maric, Angelika Thon, H.J. Schubert, Leo Kreisel-Strausz",,,Austria,Europe
A_583,RHIZOM in Kooperation mit steirischer herbst (Veronika Kaup-Hasler als Intendantin),,,Austria,Europe
A_584,RHIZOM kollektiv,,,Austria,Europe
A_585,Ricardo Martínez,,,,
A_586,Richard Kriesche,,,Austria,Europe
A_587,Richard Reich,,,,Europe
A_588,Richard Winkler,,,,Europe
A_589,Richardas Norvila,,,,
A_590,Robert Adrian X,,,,
A_591,Robert Filipini,,,,
A_592,Robert Lepenik,,,,
A_593,Robert Pfurtscheller,,,,
A_594,Robert Reinagl,,,,
A_595,Robert Spour,,,,
A_596,Robert Wendl,,,,
A_597,Robert Wolf,,,,
A_598,Robert Zahornicky,,,,
A_599,Roberto Cortázar,,,,
A_600,Roberto Guillén,,,,
A_601,Roberto Montoya,,,Colombia,America (South)
A_602,Roberto Paci Dalò,1962,,,
A_603,Roberto Sarmiento,,,,
A_604,Roland Jörg,,,,
A_605,Rolf Lappert,,,,
A_606,Romana Hagyo,,,,
A_607,Rosa Hausleithner,,,,
A_608,Rosa María Morales Palacio,,,,
A_609,Roselies Haider,,,,
A_610,Rosmarie Vogt-Rippmann,,,,
A_611,Rostislav Jegorov,,,,
A_612,Roza El-Hassan,,,,
A_613,Rudi Klein,,,,
A_614,Rudolf Härdi,,,,
A_615,Ru-Feei Cheng,,,Taiwan,Asia
A_616,Rupert Huber,,,,
A_617,Ruth Cerha,,,,
A_618,Stasys Eidrigevičius,1949,,Lithuania,Europe
